title,cve_str_list,CVSS,RF,Detec,Comment,Refs
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-4807,7.8,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-49083,5.3,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-50447,9,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-50782,5.9,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-51074,5.3,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-6237,3.1,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2023-6277,6.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-21085,3.7,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-22020,6.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-25710,5.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-26308,5.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-28176,5.3,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-28849,6.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-29041,6.1,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-36138,7.3,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-37372,3.7,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-41752,5.4,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-4367,8.8,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-43796,5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-45082,6.8,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
IBM Cognos Analytics Multiple Vulnerabilities,CVE-2024-45590,7.5,,None,1/14 CH - Monitor for QID,https://www.ibm.com/support/pages/node/7177223
Red Hat update for webkit2gtk3,CVE-2024-54479,7.5,,Qualys QID,1/14 CH - QID Available(247282),https://access.redhat.com/errata/RHSA-2025:0279
Red Hat update for webkit2gtk3,CVE-2024-54502,6.5,,Qualys QID,1/14 CH - QID Available(247282),https://access.redhat.com/errata/RHSA-2025:0279
Red Hat update for webkit2gtk3,CVE-2024-54505,8.8,,Qualys QID,1/14 CH - QID Available(247282),https://access.redhat.com/errata/RHSA-2025:0279
Red Hat update for webkit2gtk3,CVE-2024-54508,6.5,,Qualys QID,1/14 CH - QID Available(247282),https://access.redhat.com/errata/RHSA-2025:0279
Red Hat update for thunderbird,CVE-2025-0242,8.8,,Qualys QID,1/14 CH - QID Available(247286),https://access.redhat.com/errata/RHSA-2025:0281
Red Hat update for thunderbird,CVE-2025-0243,7.5,,Qualys QID,1/14 CH - QID Available(247285),https://access.redhat.com/errata/RHSA-2025:0284
